GASSID,nComps,Qlty,Problems,Notes
GASS20292,3,B,C,
GASS109106,3,O,"C,S,D",
GASS20286,2,O,"C,S,D",Embedded object
GASS109080,1,O,"C,S",Diffuse spiral arms
GASS109094,2,O,"C,S",Embedded object
GASS109079,1,O,D,
GASS109034,1,G,S,
GASS109135,3,O,"S,D",
GASS109050,2,O,"C,S,D",Embedded object
GASS33737,?,B,"C,S,B,D",Bright nearby object
GASS109088,2,B,C,Embedded object
GASS26151,1,B,"S,B,D","Interacting, Bright nearby object, Edge on"
GASS18755,1,O,"S,B,I",Large galaxy
GASS14863,2,O,"S,B,I",Large galaxy
GASS5035,2,O,"C,S",Embedded object
GASS110038,2,O,"C,S",Group
GASS33777,1,O,"C,S",Embedded object
GASS110082,1,B,S,Edge on
GASS14831,2,B,C,
GASS18830,1,G,-,
GASS8634,1,O,-,
GASS18798,1,O,S,Embedded object
GASS110036,1,O,S,Diffuse spiral arms
GASS14943,1,O,S,
GASS26221,2,B,"C,S",
GASS110013,2,B,"C,D",Offset bulge
GASS110069,2,O,"C,D",Interacting
GASS110058,1,G,S,Embedded object
GASS110080,1,G,D,Edge on
GASS110068,1,G,D,Edge on
GASS26368,2,O,"C,S,D","Edge on, Embedded object"
GASS18900,2,O,C,
GASS110047,1,B,S,Embedded object
GASS18875,1,G,S,Embedded object
GASS18877,2,B,"C,B",Bright nearby object
GASS18872,1,G,S,
GASS110060,2,B,"S,D",Edge on
GASS18887,2,B,"C,S,D",Edge on
GASS26407,3,B,C,
GASS26406,2,B,C,
GASS54233,3,B,C,
GASS110004,1,G,S,
GASS8724,2,B,"C,S,B,D,I",Large galaxy
GASS26320,2,B,C,Bright nearby object
GASS18862,3,B,"C,S",Embedded object
GASS54240,1,G,"C,S",Group
GASS26311,3,B,"C,S",Embedded object
GASS26503,1,G,B,Bright nearby object
GASS26336,2,O,C,
GASS26319,2,B,C,
GASS110076,3,B,"C,S,D",
GASS26436,2,B,C,
GASS110040,1,O,C,
GASS26535,3,B,C,
GASS23069,1,O,C,
GASS5204,2,B,"C,S,D",Embedded object
GASS23070,2,B,"C,D",Edge on
